feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
19fa91892	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	X	D	C	C	B	B	C	A	B	A	D	A	C	C	B	B
19fa42193	1	C	X	A	B	D	B	C	X	D	C	A	X	X	B	A	D	D	C	A	X	X	D	X	B	B	D	X	X	A	D	A	X	X	B	X
19fa66708	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	C	C	D	C	A	A	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19fa71056	1	C	B	A	B	B	B	D	B	D	C	A	X	X	D	X	C	B	C	A	X	A	D	C	B	X	X	D	C	A	X	D	C	X	D	B
19fa45806	1	C	B	A	B	D	B	C	B	D	C	A	B	A	A	X	C	D	D	A	D	C	D	D	B	B	C	B	C	D	D	A	C	A	B	B
19fa81900	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	B	A	D	D	C	C	A	B	C	B	C	A	D	A	C	B	B	B
19fa17169	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19fa51261	1	C	B	A	B	D	X	C	C	D	C	D	A	C	D	A	C	C	C	A	D	D	C	B	B	B	B	C	B	D	D	D	D	C	B	B
19fa21297	1	C	B	A	B	D	B	A	B	D	C	A	B	C	B	A	C	A	C	A	D	D	C	B	B	B	C	B	C	A	D	A	A	B	B	C
19fa69267	1	C	B	A	B	C	B	A	B	D	C	B	D	C	B	D	C	D	C	A	D	B	C	D	C	B	C	B	C	D	A	C	D	B	D	D
19fa13004	1	C	B	A	B	D	B	D	B	D	C	X	B	X	B	A	C	A	C	A	D	B	C	C	B	B	C	C	B	A	B	A	B	C	B	B
19fa79953	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
19fa57652	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	A	D	C	C	B	B	C	B	C	A	D	A	C	C	B	A
19fa87214	1	C	B	A	B	D	B	D	X	D	C	A	B	X	B	B	C	D	C	A	X	C	X	X	X	X	C	B	C	A	D	A	X	X	B	B
