key	value
aantalDeelnemers	223
totaalHoogsteScore	19
totaalLaagsteScore	0
totaalGemiddeldeScore	11.26
totaalMediaanScore	12
totaalAantalScore0	3
totaalAantalScore1	4
totaalAantalScore2	4
totaalAantalScore3	4
totaalAantalScore4	3
totaalAantalScore5	8
totaalAantalScore6	6
totaalAantalScore7	8
totaalAantalScore8	14
totaalAantalScore9	13
totaalAantalScore10	22
totaalAantalScore11	19
totaalAantalScore12	20
totaalAantalScore13	16
totaalAantalScore14	24
totaalAantalScore15	16
totaalAantalScore16	15
totaalAantalScore17	13
totaalAantalScore18	9
totaalAantalScore19	2
totaalAantalScore20	0
zonder_basisHoogsteScore	19
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	9.54
zonder_basisMediaanScore	10
zonder_basisAantalScore0	8
zonder_basisAantalScore1	5
zonder_basisAantalScore2	5
zonder_basisAantalScore3	10
zonder_basisAantalScore4	13
zonder_basisAantalScore5	8
zonder_basisAantalScore6	12
zonder_basisAantalScore7	15
zonder_basisAantalScore8	18
zonder_basisAantalScore9	12
zonder_basisAantalScore10	19
zonder_basisAantalScore11	18
zonder_basisAantalScore12	14
zonder_basisAantalScore13	14
zonder_basisAantalScore14	13
zonder_basisAantalScore15	9
zonder_basisAantalScore16	13
zonder_basisAantalScore17	9
zonder_basisAantalScore18	7
zonder_basisAantalScore19	1
zonder_basisAantalScore20	0
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	7.84
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	2
wiskunde_basisAantalScore1	5
wiskunde_basisAantalScore2	2
wiskunde_basisAantalScore3	8
wiskunde_basisAantalScore4	5
wiskunde_basisAantalScore5	14
wiskunde_basisAantalScore6	11
wiskunde_basisAantalScore7	27
wiskunde_basisAantalScore8	24
wiskunde_basisAantalScore9	71
wiskunde_basisAantalScore10	54
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	6.9
wiskunde_standaardMediaanScore	7
wiskunde_standaardAantalScore0	17
wiskunde_standaardAantalScore1	10
wiskunde_standaardAantalScore2	10
wiskunde_standaardAantalScore3	12
wiskunde_standaardAantalScore4	16
wiskunde_standaardAantalScore5	12
wiskunde_standaardAantalScore6	23
wiskunde_standaardAantalScore7	21
wiskunde_standaardAantalScore8	20
wiskunde_standaardAantalScore9	22
wiskunde_standaardAantalScore10	18
wiskunde_standaardAantalScore11	7
wiskunde_standaardAantalScore12	18
wiskunde_standaardAantalScore13	7
wiskunde_standaardAantalScore14	8
wiskunde_standaardAantalScore15	2
chemieHoogsteScore	10
chemieLaagsteScore	0
chemieGemiddeldeScore	5.07
chemieMediaanScore	5
chemieAantalScore0	15
chemieAantalScore1	16
chemieAantalScore2	15
chemieAantalScore3	14
chemieAantalScore4	18
chemieAantalScore5	39
chemieAantalScore6	40
chemieAantalScore7	31
chemieAantalScore8	6
chemieAantalScore9	20
chemieAantalScore10	9
